SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 25-Nov-2022,22929.1,22900.0,23187.95,22850.0,22851.0,22900.8,22917.68,7329,1407, 6284, 85.74
AARTIDRUGS, EQ, 25-Nov-2022,442.3,440.5,452.6,440.5,448.1,450.45,447.76,76016,4592, 33219, 43.70
AARTIIND, EQ, 25-Nov-2022,657.45,660.1,666.0,657.5,665.0,664.4,662.87,437321,19635, 163403, 37.36
AAVAS, EQ, 25-Nov-2022,1906.9,1904.0,1945.0,1893.95,1912.0,1905.9,1916.79,55806,5987, 31434, 56.33
ABB, EQ, 25-Nov-2022,3124.95,3140.1,3159.0,3080.0,3100.0,3090.85,3115.66,340177,35037, 170550, 50.14
ABCAPITAL, EQ, 25-Nov-2022,128.95,129.0,136.0,128.95,135.75,135.3,132.68,13245307,67738, 5991940, 45.24
ABFRL, EQ, 25-Nov-2022,304.95,306.95,312.65,306.25,310.6,310.6,309.97,2112552,29294, 853260, 40.39
ACC, EQ, 25-Nov-2022,2461.35,2468.8,2515.0,2455.65,2514.0,2507.25,2489.44,450737,23057, 120870, 26.82
ACCELYA, EQ, 25-Nov-2022,1539.1,1522.0,1557.35,1515.75,1523.0,1524.05,1533.57,17312,2409, 10317, 59.59
ACE, EQ, 25-Nov-2022,316.8,321.9,333.0,321.0,329.8,328.7,327.41,796903,20565, 286951, 36.01
ADANIENT, EQ, 25-Nov-2022,3921.1,3929.0,3949.9,3845.3,3900.05,3901.1,3894.99,2506346,91106, 479081, 19.11
ADANIPORTS, EQ, 25-Nov-2022,876.65,877.0,881.0,872.1,877.5,879.6,876.81,5079099,59338, 1866458, 36.75
ADFFOODS, EQ, 25-Nov-2022,762.2,753.2,775.0,753.2,770.0,771.75,768.42,13910,996, 9490, 68.22
ADVENZYMES, EQ, 25-Nov-2022,279.75,280.95,288.15,278.45,285.0,285.1,284.67,71149,3946, 42193, 59.30
AEGISCHEM, EQ, 25-Nov-2022,330.15,328.15,338.0,325.1,336.0,336.2,333.65,797922,20589, 271173, 33.98
AHLUCONT, EQ, 25-Nov-2022,436.9,437.2,440.4,429.0,429.05,429.8,432.38,12407,863, 7692, 62.00
AIAENG, EQ, 25-Nov-2022,2689.45,2685.0,2696.75,2627.0,2640.0,2639.9,2648.08,38478,8355, 20243, 52.61
AJANTPHARM, EQ, 25-Nov-2022,1223.25,1223.95,1237.0,1221.05,1235.0,1232.15,1230.12,20323,3457, 10884, 53.56
AKZOINDIA, EQ, 25-Nov-2022,2334.4,2340.0,2345.95,2290.5,2315.0,2310.0,2314.35,6368,1718, 3967, 62.30
ALEMBICLTD, EQ, 25-Nov-2022,73.65,73.6,73.95,72.5,72.95,72.8,73.16,127099,1617, 81824, 64.38
ALKEM, EQ, 25-Nov-2022,3100.0,3097.8,3102.6,3061.0,3062.0,3068.35,3078.8,38975,4386, 13203, 33.88
ALKYLAMINE, EQ, 25-Nov-2022,2817.15,2817.0,2893.85,2810.75,2870.1,2870.9,2873.2,40977,6817, 18025, 43.99
ALLCARGO, EQ, 25-Nov-2022,463.6,468.0,472.75,455.55,467.0,467.45,463.64,1006213,19596, 333373, 33.13
AMARAJABAT, EQ, 25-Nov-2022,640.3,640.0,648.4,639.05,644.7,646.5,645.11,701363,14670, 260922, 37.20
AMBER, EQ, 25-Nov-2022,1993.65,1993.65,2019.0,1986.05,1994.7,1997.75,2002.14,42372,3553, 30594, 72.20
AMBUJACEM, EQ, 25-Nov-2022,557.85,560.4,567.4,556.55,564.15,564.65,562.79,4010892,52333, 1316730, 32.83
AMRUTANJAN, EQ, 25-Nov-2022,703.75,701.5,708.15,701.5,707.0,705.8,705.45,12419,1361, 8920, 71.83
ANURAS, EQ, 25-Nov-2022,727.3,730.0,730.0,725.0,728.0,726.7,726.62,47184,3501, 33594, 71.20
APARINDS, EQ, 25-Nov-2022,1469.3,1478.0,1502.75,1454.85,1477.0,1476.45,1480.27,71014,14832, 30508, 42.96
APLAPOLLO, EQ, 25-Nov-2022,1097.7,1100.0,1100.0,1064.0,1079.95,1081.85,1073.85,416366,24102, 169828, 40.79
APLLTD, EQ, 25-Nov-2022,599.75,602.75,607.05,596.15,599.0,597.85,600.29,216727,2535, 194401, 89.70
APOLLOHOSP, EQ, 25-Nov-2022,4815.05,4815.0,4885.0,4751.05,4788.7,4789.45,4821.18,1069669,69595, 297338, 27.80
APOLLOPIPE, EQ, 25-Nov-2022,468.95,472.45,479.9,464.65,477.5,475.7,473.14,77620,3486, 30048, 38.71
APOLLOTYRE, EQ, 25-Nov-2022,282.1,283.55,294.3,283.1,292.75,293.2,290.22,5019984,41126, 1729711, 34.46
ARVIND, EQ, 25-Nov-2022,92.8,92.15,93.75,92.15,93.35,93.05,93.17,412684,2957, 192673, 46.69
ARVINDFASN, EQ, 25-Nov-2022,326.55,327.95,335.0,321.55,330.3,330.1,328.01,245319,9315, 107655, 43.88
ASAHIINDIA, EQ, 25-Nov-2022,625.05,628.2,631.2,615.0,615.05,616.25,623.49,76307,5988, 39037, 51.16
ASHIANA, EQ, 25-Nov-2022,141.55,143.05,148.5,141.55,148.45,146.95,145.12,48356,1389, 31766, 65.69
ASHOKA, EQ, 25-Nov-2022,73.7,73.7,75.4,73.5,74.6,74.35,74.29,636274,4780, 263425, 41.40
ASHOKLEY, EQ, 25-Nov-2022,146.1,146.2,149.8,145.7,148.9,148.75,148.71,10154485,48933, 4675323, 46.04
ASIANPAINT, EQ, 25-Nov-2022,3115.3,3115.3,3119.8,3075.25,3110.0,3108.15,3096.63,898769,53327, 448038, 49.85
ASTEC, EQ, 25-Nov-2022,2146.85,2130.0,2146.3,2120.0,2125.05,2128.8,2130.08,8873,2448, 5458, 61.51
ASTERDM, EQ, 25-Nov-2022,231.15,232.35,234.25,231.45,232.0,232.05,232.73,221646,5230, 113120, 51.04
ASTRAL, EQ, 25-Nov-2022,1873.85,1880.0,1902.4,1875.7,1894.3,1894.0,1889.52,260993,20438, 143472, 54.97
ASTRAZEN, EQ, 25-Nov-2022,3362.8,3374.9,3381.3,3350.05,3350.05,3359.8,3364.02,4625,926, 2895, 62.59
ATFL, EQ, 25-Nov-2022,760.4,763.4,776.75,760.1,764.0,769.8,769.81,15387,706, 12265, 79.71
ATUL, EQ, 25-Nov-2022,7996.35,8035.0,8244.85,8020.0,8220.2,8201.55,8128.66,30408,5647, 15791, 51.93
AUBANK, EQ, 25-Nov-2022,636.35,636.0,640.0,628.5,637.05,637.75,634.93,1083395,20909, 479884, 44.29
AUROPHARMA, EQ, 25-Nov-2022,456.3,458.6,465.35,455.3,463.95,464.05,461.22,1331398,24408, 590298, 44.34
AUTOAXLES, EQ, 25-Nov-2022,1975.85,1985.0,2010.0,1970.05,1984.0,1995.1,1996.01,6831,1412, 4169, 61.03
AVANTIFEED, EQ, 25-Nov-2022,391.55,390.9,392.0,382.0,390.0,388.95,386.88,452772,11467, 99604, 22.00
AXISBANK, EQ, 25-Nov-2022,878.55,883.0,891.8,880.9,887.0,887.75,886.7,7614047,127897, 4214240, 55.35
BAJAJ-AUTO, EQ, 25-Nov-2022,3620.15,3632.25,3652.7,3601.0,3635.25,3640.25,3627.13,224797,18973, 125867, 55.99
BAJAJCON, EQ, 25-Nov-2022,159.35,159.6,160.0,157.5,158.95,158.05,158.72,163502,4155, 98089, 59.99
BAJAJELEC, EQ, 25-Nov-2022,1090.05,1096.0,1123.15,1091.05,1106.0,1105.25,1113.29,87866,7655, 24944, 28.39
BAJAJFINSV, EQ, 25-Nov-2022,1634.0,1634.0,1646.95,1624.5,1633.0,1633.7,1634.9,1140578,43931, 486980, 42.70
BAJAJHLDNG, EQ, 25-Nov-2022,6521.25,6547.0,6580.0,6351.6,6373.9,6371.8,6449.63,109908,20860, 61634, 56.08
BAJFINANCE, EQ, 25-Nov-2022,6771.35,6770.0,6778.0,6675.0,6735.0,6747.5,6725.68,859058,73917, 323178, 37.62
BALAMINES, EQ, 25-Nov-2022,2929.85,2929.85,2939.95,2913.0,2927.0,2925.0,2923.57,17536,2655, 8453, 48.20
BALKRISIND, EQ, 25-Nov-2022,1975.4,1978.0,2032.0,1968.05,2021.0,2026.35,2011.09,519779,39678, 241950, 46.55
BALMLAWRIE, EQ, 25-Nov-2022,120.85,121.9,124.2,120.4,121.5,121.55,122.32,405530,4731, 202036, 49.82
BALRAMCHIN, EQ, 25-Nov-2022,369.3,370.5,378.45,361.1,376.75,375.65,368.54,4356799,42332, 1174770, 26.96
BANARISUG, EQ, 25-Nov-2022,3051.6,3038.0,3070.0,3018.05,3030.1,3048.85,3045.55,628,217, 446, 71.02
BANDHANBNK, EQ, 25-Nov-2022,212.5,213.0,220.35,212.0,219.2,219.15,217.89,12998733,82444, 5725037, 44.04
BANKBARODA, EQ, 25-Nov-2022,170.4,170.95,172.7,166.8,167.8,167.85,169.27,26429948,100479, 8093678, 30.62
BANKINDIA, EQ, 25-Nov-2022,81.3,82.05,84.6,81.0,81.7,81.8,82.59,17424428,53379, 6098819, 35.00
BASF, EQ, 25-Nov-2022,2663.05,2663.05,2686.9,2651.0,2660.0,2658.6,2665.82,8494,1478, 4926, 57.99
BATAINDIA, EQ, 25-Nov-2022,1689.45,1689.45,1712.25,1683.0,1711.0,1710.3,1701.21,195917,10024, 75630, 38.60
BBTC, EQ, 25-Nov-2022,917.15,920.0,926.05,914.0,918.0,918.65,919.29,20685,1243, 14968, 72.36
BDL, EQ, 25-Nov-2022,965.65,965.65,972.6,953.25,957.9,957.95,963.82,475859,14382, 150098, 31.54
BECTORFOOD, EQ, 25-Nov-2022,426.4,429.8,431.7,420.4,428.0,426.2,426.86,207460,6957, 107328, 51.73
BEL, EQ, 25-Nov-2022,107.0,107.3,108.0,106.65,107.1,107.15,107.26,8834584,35917, 4510675, 51.06
BEML, EQ, 25-Nov-2022,1481.5,1482.5,1496.0,1472.0,1475.05,1476.25,1482.92,36304,4830, 20905, 57.58
BEPL, EQ, 25-Nov-2022,106.9,107.25,110.5,106.9,110.45,110.15,109.09,168993,2831, 101182, 59.87
BERGEPAINT, EQ, 25-Nov-2022,614.85,614.85,617.65,608.0,616.95,616.7,613.76,484792,11606, 199948, 41.24
BHARATFORG, EQ, 25-Nov-2022,843.85,843.7,849.9,837.65,846.25,847.05,844.42,815980,57677, 431836, 52.92
BHARATRAS, EQ, 25-Nov-2022,10102.6,10140.0,10189.9,10082.0,10121.0,10137.6,10127.09,804,390, 487, 60.57
BHARTIARTL, EQ, 25-Nov-2022,848.35,852.0,860.0,841.6,847.5,846.85,846.75,2991065,61942, 1501427, 50.20
BHEL, EQ, 25-Nov-2022,74.8,75.4,82.25,75.3,82.25,81.95,79.92,125076142,213975, 33638803, 26.89
BIOCON, EQ, 25-Nov-2022,274.45,276.0,282.75,275.1,282.1,282.15,280.09,1972475,22783, 770830, 39.08
BIRLACORPN, EQ, 25-Nov-2022,949.85,955.0,956.0,941.95,951.6,951.45,949.39,67529,6573, 40965, 60.66
BLUEDART, EQ, 25-Nov-2022,7379.55,7379.55,7439.85,7293.0,7300.0,7363.5,7384.23,13906,3549, 8540, 61.41
BLUESTARCO, EQ, 25-Nov-2022,1202.95,1199.8,1215.0,1194.3,1210.65,1210.7,1207.91,27673,3823, 15731, 56.85
