SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SUPREMEIND, EQ, 30-Nov-2022,2371.15,2349.6,2458.8,2349.6,2445.0,2435.2,2433.24,112943,8446, 91241, 80.78
SURYAROSNI, EQ, 30-Nov-2022,468.9,468.9,472.9,464.0,464.1,465.55,467.74,59511,2801, 27711, 46.56
SURYODAY, EQ, 30-Nov-2022,100.4,101.35,101.8,100.05,101.0,101.0,100.83,125409,2567, 67175, 53.56
SUVENPHAR, EQ, 30-Nov-2022,460.45,460.4,468.5,454.15,462.1,464.85,462.54,203593,8864, 113636, 55.82
SUVIDHAA, EQ, 30-Nov-2022,5.05,5.05,5.1,5.0,5.05,5.0,5.01,88629,254, 53233, 60.06
SUZLON, EQ, 30-Nov-2022,8.75,8.8,9.35,8.75,9.3,9.25,9.09,226695872,66870, 79360262, 35.01
SWANENERGY, EQ, 30-Nov-2022,242.3,237.9,250.85,237.45,247.0,244.0,243.61,710242,11867, 165240, 23.27
SWARAJENG, EQ, 30-Nov-2022,1571.2,1579.1,1610.9,1566.95,1575.3,1575.5,1588.12,8275,1123, 3787, 45.76
SWSOLAR, EQ, 30-Nov-2022,289.9,289.9,294.25,286.0,292.1,292.75,290.82,236006,5223, 113758, 48.20
SYMPHONY, EQ, 30-Nov-2022,887.15,886.95,905.55,886.45,902.0,900.55,898.62,21365,2361, 15070, 70.54
SYNGENE, EQ, 30-Nov-2022,600.8,603.95,610.0,597.0,605.0,607.6,603.9,434600,8722, 179067, 41.20
TASTYBITE, EQ, 30-Nov-2022,11872.65,11899.0,11920.05,11555.0,11675.0,11665.9,11759.4,1436,571, 937, 65.25
TATACHEM, EQ, 30-Nov-2022,1028.2,1030.0,1042.9,1029.2,1036.9,1035.5,1035.84,735398,23535, 301828, 41.04
TATACOFFEE, EQ, 30-Nov-2022,230.8,231.05,233.85,231.05,233.0,232.7,232.58,1520280,11354, 989079, 65.06
TATACOMM, EQ, 30-Nov-2022,1274.2,1280.6,1315.0,1251.0,1309.9,1300.2,1275.3,654220,26126, 330791, 50.56
TATACONSUM, EQ, 30-Nov-2022,805.05,805.05,821.95,804.25,816.0,818.05,815.49,3390682,49628, 2038271, 60.11
TATAELXSI, EQ, 30-Nov-2022,6781.75,6810.0,7050.0,6781.0,6996.0,7010.25,6949.85,489300,66480, 171542, 35.06
TATAINVEST, EQ, 30-Nov-2022,2351.1,2379.0,2379.0,2336.5,2349.85,2346.2,2351.31,27568,3738, 18889, 68.52
TATAMETALI, EQ, 30-Nov-2022,754.85,750.1,767.85,750.1,766.45,765.1,763.93,48949,2378, 22226, 45.41
TATAMOTORS, EQ, 30-Nov-2022,433.15,435.0,441.0,433.3,439.3,439.4,438.08,14727892,137741, 7307939, 49.62
TATAPOWER, EQ, 30-Nov-2022,223.45,223.55,225.4,222.65,224.7,224.8,224.0,8815900,54533, 5059215, 57.39
TATASTEEL, EQ, 30-Nov-2022,106.1,106.1,107.95,105.9,107.55,107.65,107.35,61142050,135519, 36795516, 60.18
TCI, EQ, 30-Nov-2022,671.3,674.0,695.45,662.55,693.7,692.25,683.04,128695,6979, 79490, 61.77
TCIEXP, EQ, 30-Nov-2022,1863.55,1872.9,1878.1,1851.0,1864.0,1862.2,1862.89,10022,2226, 6583, 65.69
TCNSBRANDS, EQ, 30-Nov-2022,575.55,575.55,580.0,566.0,566.0,569.25,571.74,21257,1592, 16654, 78.35
TCS, EQ, 30-Nov-2022,3397.35,3383.0,3414.9,3375.0,3401.0,3390.8,3394.24,3410702,130194, 2501862, 73.35
TEAMLEASE, EQ, 30-Nov-2022,2476.2,2488.6,2529.25,2470.5,2489.0,2494.4,2490.59,11359,1979, 5658, 49.81
TECHM, EQ, 30-Nov-2022,1074.55,1074.75,1082.0,1063.2,1079.0,1077.0,1073.95,3909954,71687, 2642183, 67.58
TECHNOE, EQ, 30-Nov-2022,305.3,308.0,320.3,303.85,315.4,315.15,315.59,454179,9883, 296849, 65.36
THERMAX, EQ, 30-Nov-2022,2029.9,2039.7,2058.1,2030.6,2045.25,2048.9,2048.74,88322,6483, 68914, 78.03
THOMASCOOK, EQ, 30-Nov-2022,76.4,76.05,77.5,75.95,76.75,76.65,76.6,225096,2864, 92947, 41.29
THYROCARE, EQ, 30-Nov-2022,620.35,621.25,633.05,621.25,630.0,630.8,627.74,26411,2630, 16226, 61.44
TIDEWATER, EQ, 30-Nov-2022,1107.15,1107.0,1133.95,1070.0,1077.0,1077.75,1106.72,138726,13543, 33643, 24.25
TIINDIA, EQ, 30-Nov-2022,2743.7,2723.0,2834.0,2675.65,2790.0,2771.35,2770.34,12989587,181345, 8026392, 61.79
TIMETECHNO, EQ, 30-Nov-2022,95.25,95.7,98.0,95.35,97.1,97.15,97.26,1277032,6226, 663539, 51.96
TIMKEN, EQ, 30-Nov-2022,3444.45,3444.4,3473.95,3295.0,3305.0,3306.0,3351.92,171838,17693, 69956, 40.71
TINPLATE, EQ, 30-Nov-2022,317.85,317.85,321.5,316.85,319.7,319.75,319.37,119502,3474, 55005, 46.03
TITAN, EQ, 30-Nov-2022,2613.75,2613.75,2665.0,2604.2,2657.25,2653.0,2641.21,1569918,68190, 1049018, 66.82
TORNTPHARM, EQ, 30-Nov-2022,1635.0,1640.0,1669.9,1613.0,1652.45,1659.9,1648.67,571634,19224, 420182, 73.51
TORNTPOWER, EQ, 30-Nov-2022,537.5,537.0,540.95,534.25,537.05,537.7,537.44,208439,8344, 110787, 53.15
TRENT, EQ, 30-Nov-2022,1456.95,1456.95,1479.8,1435.35,1472.4,1471.65,1464.15,960009,39860, 619881, 64.57
TRITURBINE, EQ, 30-Nov-2022,280.3,281.7,289.5,280.5,287.05,286.95,286.34,940036,18252, 465507, 49.52
TRIVENI, EQ, 30-Nov-2022,303.05,303.0,304.4,287.65,296.5,295.55,294.42,932898,15633, 331011, 35.48
TTKPRESTIG, EQ, 30-Nov-2022,882.35,880.0,894.9,880.0,886.0,884.25,886.22,27243,3521, 16891, 62.00
TV18BRDCST, EQ, 30-Nov-2022,36.1,36.3,37.35,36.15,37.25,37.15,36.93,9257515,14880, 3765806, 40.68
TVSMOTOR, EQ, 30-Nov-2022,1039.85,1045.05,1066.25,1032.25,1049.0,1048.15,1047.92,27363975,134539, 17650676, 64.50
TVSSRICHAK, EQ, 30-Nov-2022,3178.7,3194.55,3249.95,3184.0,3186.0,3218.7,3217.64,10453,2876, 3343, 31.98
TVTODAY, EQ, 30-Nov-2022,248.9,249.0,249.8,245.15,248.8,246.95,247.92,48410,2095, 30343, 62.68
UBL, EQ, 30-Nov-2022,1680.15,1688.55,1701.6,1671.55,1695.0,1686.1,1685.92,231120,15296, 101180, 43.78
UCOBANK, EQ, 30-Nov-2022,20.25,20.25,20.45,19.65,19.75,19.8,19.96,17360162,27194, 5745799, 33.10
UFLEX, EQ, 30-Nov-2022,606.35,608.5,612.0,606.5,608.9,607.75,608.2,65485,5381, 42439, 64.81
UJJIVAN, EQ, 30-Nov-2022,284.7,285.0,288.5,281.1,287.6,286.3,286.37,338652,7629, 148372, 43.81
UJJIVANSFB, EQ, 30-Nov-2022,28.3,28.5,28.75,28.05,28.5,28.5,28.43,5386719,8732, 2719690, 50.49
ULTRACEMCO, EQ, 30-Nov-2022,6928.9,6948.0,7095.0,6905.05,7080.05,7077.0,7018.71,489956,52532, 258984, 52.86
UNICHEMLAB, EQ, 30-Nov-2022,413.15,412.0,415.0,402.05,407.0,407.45,406.91,100238,3436, 52999, 52.87
UNIONBANK, EQ, 30-Nov-2022,82.2,81.85,83.7,79.8,81.8,81.65,81.75,26927919,62481, 7065293, 26.24
UPL, EQ, 30-Nov-2022,774.85,777.9,793.55,774.35,789.8,789.7,784.55,3241756,62906, 2118628, 65.35
UTIAMC, EQ, 30-Nov-2022,748.35,749.9,784.6,744.45,777.0,781.15,771.23,517158,17772, 243001, 46.99
VAIBHAVGBL, EQ, 30-Nov-2022,330.95,332.6,339.1,331.0,338.0,337.65,336.57,135580,5637, 55979, 41.29
VAKRANGEE, EQ, 30-Nov-2022,30.0,30.15,30.9,29.85,30.85,30.6,30.33,2229196,4672, 1449319, 65.02
VARROC, EQ, 30-Nov-2022,288.75,289.0,302.5,287.1,298.45,298.5,296.74,535009,14338, 266426, 49.80
VBL, EQ, 30-Nov-2022,1146.15,1151.0,1324.0,1151.0,1310.0,1249.75,1240.06,35107723,252606, 21801490, 62.10
VEDL, EQ, 30-Nov-2022,301.85,301.0,307.15,300.65,304.5,304.35,304.84,10300275,71780, 4070842, 39.52
VENKEYS, EQ, 30-Nov-2022,1852.25,1861.0,1875.0,1850.0,1852.0,1853.95,1860.63,9339,1477, 4538, 48.59
VESUVIUS, EQ, 30-Nov-2022,1705.15,1711.0,1759.0,1705.55,1745.0,1739.75,1734.42,16257,3034, 6838, 42.06
VGUARD, EQ, 30-Nov-2022,251.35,252.3,255.0,251.5,253.0,252.9,253.05,120999,4094, 66147, 54.67
VINATIORGA, EQ, 30-Nov-2022,2172.2,2177.0,2185.0,2141.15,2149.5,2148.45,2157.11,36126,6555, 21476, 59.45
VIPIND, EQ, 30-Nov-2022,727.75,732.0,738.1,713.25,719.0,720.55,727.05,188127,5741, 115142, 61.20
VMART, EQ, 30-Nov-2022,2784.6,2798.55,2809.95,2752.1,2794.6,2794.0,2797.96,83614,1801, 75729, 90.57
VOLTAS, EQ, 30-Nov-2022,825.85,825.85,829.15,817.5,819.0,819.5,821.06,1252601,41183, 773406, 61.74
VRLLOG, EQ, 30-Nov-2022,549.95,560.0,566.0,551.1,564.6,557.85,558.99,545890,19720, 421679, 77.25
VSTIND, EQ, 30-Nov-2022,3562.8,3559.95,3576.95,3406.05,3430.0,3468.4,3477.69,46013,8280, 39824, 86.55
VSTTILLERS, EQ, 30-Nov-2022,2372.35,2353.2,2408.0,2353.2,2389.0,2386.65,2388.15,4284,1503, 1082, 25.26
VTL, EQ, 30-Nov-2022,344.0,348.0,354.45,345.1,346.9,348.35,348.89,312022,9811, 115023, 36.86
WABAG, EQ, 30-Nov-2022,339.4,340.9,349.75,336.8,345.8,345.35,345.19,971295,20511, 372515, 38.35
WELCORP, EQ, 30-Nov-2022,245.45,246.65,251.95,244.7,250.1,250.5,249.1,870867,11494, 386038, 44.33
WELENT, EQ, 30-Nov-2022,154.35,155.75,158.65,150.35,151.7,151.0,154.91,469486,5520, 275299, 58.64
WELSPUNIND, EQ, 30-Nov-2022,82.35,83.0,83.95,81.75,81.75,81.95,82.65,1067933,6354, 420069, 39.33
WHIRLPOOL, EQ, 30-Nov-2022,1526.05,1538.45,1545.0,1507.5,1529.8,1527.65,1525.99,94839,7939, 19908, 20.99
WIPRO, EQ, 30-Nov-2022,405.15,406.9,408.0,402.65,407.7,406.9,405.54,6946173,75231, 4128358, 59.43
WOCKPHARMA, EQ, 30-Nov-2022,237.8,238.9,242.4,237.0,237.35,237.9,239.14,403061,7677, 163816, 40.64
WSTCSTPAPR, EQ, 30-Nov-2022,578.4,582.85,615.0,578.05,612.0,605.25,600.49,987530,23222, 625783, 63.37
YESBANK, EQ, 30-Nov-2022,17.05,17.1,17.35,16.95,17.15,17.15,17.14,126117843,62620, 41992140, 33.30
ZEEL, EQ, 30-Nov-2022,261.9,260.5,265.85,259.95,264.45,264.6,263.93,7637573,46881, 3738317, 48.95
ZENSARTECH, EQ, 30-Nov-2022,222.1,223.25,224.85,221.2,223.0,222.9,223.07,693454,10072, 340082, 49.04
ZYDUSWELL, EQ, 30-Nov-2022,1575.3,1590.0,1619.0,1581.55,1619.0,1613.05,1603.33,44200,9421, 28677, 64.88
