SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 05-Dec-2022,23149.35,23165.0,23237.35,22916.6, 23120.00,23108.35,23070.16,1739,951, 945, 54.34
AARTIDRUGS, EQ, 05-Dec-2022,446.05,446.05,463.5,444.0, 461.00,460.25,454.59,122103,5572, 62103, 50.86
AARTIIND, EQ, 05-Dec-2022,673.9,677.3,679.95,671.0, 674.00,674.8,674.54,386079,16017, 165061, 42.75
AAVAS, EQ, 05-Dec-2022,1914.35,1924.35,1924.35,1881.65, 1893.95,1890.1,1899.24,79063,10885, 36927, 46.71
ABB, EQ, 05-Dec-2022,2978.1,2975.0,3001.95,2947.0, 2974.95,2975.6,2973.92,216805,19399, 102092, 47.09
ABCAPITAL, EQ, 05-Dec-2022,151.7,152.5,159.2,151.5, 158.45,158.65,156.04,18326577,89159, 5806587, 31.68
ABFRL, EQ, 05-Dec-2022,317.2,317.75,318.75,313.0, 315.20,315.2,315.12,1220577,14141, 447351, 36.65
ACC, EQ, 05-Dec-2022,2609.3,2610.2,2628.8,2594.0, 2622.05,2621.1,2614.16,458990,42225, 200755, 43.74
ACCELYA, EQ, 05-Dec-2022,1707.3,1737.0,1746.0,1671.0, 1681.90,1687.4,1710.21,64935,6564, 27239, 41.95
ACE, EQ, 05-Dec-2022,331.25,332.9,339.95,330.9, 333.15,332.8,335.04,346035,8242, 137950, 39.87
ADANIENT, EQ, 05-Dec-2022,3922.5,3928.9,3939.0,3810.05, 3930.20,3930.4,3874.71,2392866,88778, 504398, 21.08
ADANIPORTS, EQ, 05-Dec-2022,888.2,891.6,896.5,878.55, 892.00,893.15,887.98,3966501,58081, 1301335, 32.81
ADFFOODS, EQ, 05-Dec-2022,816.5,822.0,822.0,790.55, 804.00,799.65,807.55,19705,2161, 9642, 48.93
ADVENZYMES, EQ, 05-Dec-2022,283.6,283.7,310.95,283.7, 308.00,307.15,304.33,942450,23103, 295481, 31.35
AEGISCHEM, EQ, 05-Dec-2022,330.55,333.0,334.85,325.0, 330.50,329.65,330.35,367020,13327, 148560, 40.48
AHLUCONT, EQ, 05-Dec-2022,433.95,440.45,445.0,421.3, 437.00,439.9,437.88,23091,1917, 11901, 51.54
AIAENG, EQ, 05-Dec-2022,2761.85,2798.7,2813.1,2715.1, 2769.00,2750.35,2758.83,55603,9329, 36330, 65.34
AJANTPHARM, EQ, 05-Dec-2022,1252.8,1253.0,1266.2,1249.2, 1258.60,1259.95,1259.16,119094,6354, 97411, 81.79
AKZOINDIA, EQ, 05-Dec-2022,2296.6,2331.05,2335.0,2288.05, 2306.65,2302.45,2313.28,20389,4790, 13295, 65.21
ALEMBICLTD, EQ, 05-Dec-2022,76.15,76.65,80.95,76.6, 78.05,78.05,78.72,778948,8040, 325326, 41.76
