SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 29-Nov-2022,23239.05,23239.05,23465.75,23066.3,23449.0,23399.95,23322.95,1970,1146, 894, 45.38
AARTIDRUGS, EQ, 29-Nov-2022,450.85,451.0,455.0,448.1,453.95,452.6,451.35,77270,3921, 46417, 60.07
AARTIIND, EQ, 29-Nov-2022,671.45,674.85,681.9,668.0,668.5,669.65,673.86,664222,22089, 240185, 36.16
AAVAS, EQ, 29-Nov-2022,1923.85,1939.0,1965.5,1924.55,1939.0,1936.5,1947.04,54588,7441, 22265, 40.79
ABB, EQ, 29-Nov-2022,3103.35,3105.0,3113.5,3010.0,3013.95,3015.2,3039.55,383945,38531, 214643, 55.90
ABCAPITAL, EQ, 29-Nov-2022,137.05,137.15,147.55,137.0,144.0,144.1,144.08,28477714,125835, 8175375, 28.71
ABFRL, EQ, 29-Nov-2022,312.1,316.0,316.95,307.75,309.85,310.35,311.55,2534498,28780, 838922, 33.10
ACC, EQ, 29-Nov-2022,2527.1,2538.0,2562.0,2506.0,2514.0,2514.05,2536.22,474639,25533, 107955, 22.74
ACCELYA, EQ, 29-Nov-2022,1533.35,1534.1,1715.0,1519.65,1670.0,1682.7,1647.19,233744,18883, 93536, 40.02
ACE, EQ, 29-Nov-2022,327.95,330.85,354.7,330.85,337.9,339.1,345.57,2706630,45130, 585915, 21.65
ADANIENT, EQ, 29-Nov-2022,3886.15,3885.0,3915.0,3864.05,3870.0,3878.4,3888.99,1513444,46398, 381504, 25.21
ADANIPORTS, EQ, 29-Nov-2022,878.6,878.0,891.8,874.65,876.85,878.2,882.56,3663099,52556, 699702, 19.10
ADFFOODS, EQ, 29-Nov-2022,755.05,750.0,835.0,750.0,825.0,825.45,817.65,212667,9696, 85553, 40.23
ADVENZYMES, EQ, 29-Nov-2022,280.5,281.95,287.5,280.65,284.45,284.0,283.64,57083,3452, 24813, 43.47
AEGISCHEM, EQ, 29-Nov-2022,332.05,333.65,333.75,315.05,316.0,316.9,321.87,557349,13946, 239867, 43.04
AHLUCONT, EQ, 29-Nov-2022,433.95,438.3,439.5,433.0,435.0,434.4,434.91,10994,520, 8802, 80.06
AIAENG, EQ, 29-Nov-2022,2654.95,2654.0,2708.95,2653.2,2700.0,2699.8,2702.93,92096,7733, 81878, 88.91
AJANTPHARM, EQ, 29-Nov-2022,1251.5,1241.95,1252.85,1228.0,1233.5,1234.3,1237.51,25878,4625, 12788, 49.42
AKZOINDIA, EQ, 29-Nov-2022,2299.9,2327.0,2346.55,2298.0,2310.0,2304.35,2313.15,8243,1747, 5414, 65.68
ALEMBICLTD, EQ, 29-Nov-2022,72.7,73.1,73.9,70.0,71.25,70.9,71.63,275427,3476, 180069, 65.38
ALKEM, EQ, 29-Nov-2022,3080.65,3080.65,3148.8,3080.65,3116.1,3121.65,3110.92,104264,9435, 60998, 58.50
ALKYLAMINE, EQ, 29-Nov-2022,2812.45,2834.55,2848.0,2811.0,2815.0,2824.65,2823.31,20862,3962, 7079, 33.93
ALLCARGO, EQ, 29-Nov-2022,464.55,466.1,466.8,428.1,431.4,432.45,441.24,1783503,37558, 776815, 43.56
AMARAJABAT, EQ, 29-Nov-2022,644.3,642.05,651.75,640.25,646.85,646.25,646.62,646332,15897, 258249, 39.96
AMBER, EQ, 29-Nov-2022,1969.4,1959.0,1959.0,1926.35,1940.0,1934.25,1938.43,130496,14637, 68147, 52.22
AMBUJACEM, EQ, 29-Nov-2022,568.45,569.6,574.4,563.75,564.15,564.95,569.27,3646853,47092, 1814894, 49.77
