SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
3MINDIA, EQ, 01-Dec-2022,23353.5,23549.0,23549.0,23300.0,23397.0,23386.95,23374.92,2182,1566, 1086, 49.77
AARTIDRUGS, EQ, 01-Dec-2022,452.9,452.1,454.95,447.8,448.95,449.05,451.19,75286,3096, 53528, 71.10
AARTIIND, EQ, 01-Dec-2022,674.6,678.2,681.45,673.35,675.0,674.6,677.16,542055,21102, 231319, 42.67
AAVAS, EQ, 01-Dec-2022,1913.75,1937.0,1937.0,1897.0,1902.75,1900.05,1902.97,206981,7703, 183890, 88.84
ABB, EQ, 01-Dec-2022,3000.7,3009.95,3030.0,2964.45,2988.95,2993.85,3006.93,499243,40734, 268629, 53.81
ABCAPITAL, EQ, 01-Dec-2022,145.35,146.0,148.0,144.4,145.6,145.7,145.91,5916057,35880, 1974168, 33.37
ABFRL, EQ, 01-Dec-2022,314.3,315.0,317.25,312.0,314.0,316.0,315.13,2005856,32888, 1033798, 51.54
ACC, EQ, 01-Dec-2022,2563.25,2568.0,2603.95,2550.0,2577.0,2577.35,2577.92,770271,30935, 204876, 26.60
ACCELYA, EQ, 01-Dec-2022,1616.25,1620.0,1685.0,1613.25,1660.0,1655.75,1648.24,67742,7107, 24276, 35.84
ACE, EQ, 01-Dec-2022,339.2,339.95,344.55,331.35,335.9,333.55,337.65,477221,10496, 172926, 36.24
ADANIENT, EQ, 01-Dec-2022,3917.9,3937.5,3944.95,3902.45,3907.4,3915.1,3921.49,945838,35157, 227980, 24.10
ADANIPORTS, EQ, 01-Dec-2022,881.0,884.75,896.5,882.0,889.95,890.55,888.67,4491806,61575, 1516665, 33.77
ADFFOODS, EQ, 01-Dec-2022,828.1,833.4,849.3,810.05,824.0,836.6,828.46,49657,4573, 24763, 49.87
ADVENZYMES, EQ, 01-Dec-2022,284.0,284.5,286.3,279.85,281.9,280.8,281.94,50098,3102, 29791, 59.47
AEGISCHEM, EQ, 01-Dec-2022,325.1,326.7,332.2,323.15,326.0,326.45,328.14,633540,17256, 258654, 40.83
AHLUCONT, EQ, 01-Dec-2022,432.35,431.1,439.95,429.5,433.0,430.75,432.58,4394,430, 2913, 66.29
AIAENG, EQ, 01-Dec-2022,2700.1,2714.0,2810.0,2682.4,2739.95,2733.2,2737.75,171752,26167, 97083, 56.53
AJANTPHARM, EQ, 01-Dec-2022,1228.5,1234.65,1260.0,1228.1,1241.45,1239.5,1240.97,61776,13773, 47185, 76.38
AKZOINDIA, EQ, 01-Dec-2022,2284.75,2284.95,2336.7,2284.95,2300.0,2297.8,2314.97,17120,3753, 10301, 60.17
ALEMBICLTD, EQ, 01-Dec-2022,74.35,74.45,75.65,74.15,75.0,74.8,74.95,178107,2640, 97817, 54.92
ALKEM, EQ, 01-Dec-2022,3124.2,3127.25,3174.8,3118.2,3130.05,3130.1,3140.1,69694,10035, 36021, 51.68
ALKYLAMINE, EQ, 01-Dec-2022,2821.55,2839.75,2857.4,2823.0,2830.35,2829.25,2839.06,19457,3762, 8443, 43.39
ALLCARGO, EQ, 01-Dec-2022,444.6,446.7,453.5,440.75,443.5,443.7,445.83,621495,13492, 224474, 36.12
AMARAJABAT, EQ, 01-Dec-2022,650.15,650.1,654.0,644.3,646.0,645.75,649.37,401362,12814, 167940, 41.84
AMBER, EQ, 01-Dec-2022,1924.25,1927.0,1964.0,1927.0,1939.95,1940.9,1948.7,188673,11831, 150296, 79.66
AMBUJACEM, EQ, 01-Dec-2022,570.75,573.5,585.0,569.5,581.8,580.95,579.34,8400806,76811, 3655032, 43.51
AMRUTANJAN, EQ, 01-Dec-2022,708.7,710.0,719.25,702.1,710.2,709.4,709.37,28083,2857, 14515, 51.69
ANURAS, EQ, 01-Dec-2022,719.05,721.0,726.85,713.6,714.05,715.6,719.28,96118,7345, 45571, 47.41
APARINDS, EQ, 01-Dec-2022,1467.8,1489.0,1574.0,1479.95,1561.75,1558.75,1522.61,468013,25582, 297570, 63.58
APLAPOLLO, EQ, 01-Dec-2022,1120.45,1135.0,1149.5,1124.9,1130.0,1132.55,1136.31,679091,24753, 427852, 63.00
APLLTD, EQ, 01-Dec-2022,594.6,596.0,607.9,591.8,594.0,594.6,598.93,103905,5150, 37758, 36.34
APOLLOHOSP, EQ, 01-Dec-2022,4726.4,4765.0,4794.0,4701.05,4770.0,4775.7,4763.39,611403,53905, 225042, 36.81
APOLLOPIPE, EQ, 01-Dec-2022,489.15,498.15,502.55,486.4,500.0,499.1,494.07,107746,4099, 77957, 72.35
APOLLOTYRE, EQ, 01-Dec-2022,316.45,317.65,321.0,314.7,315.5,315.5,318.06,4447547,39655, 1718748, 38.64
ARVIND, EQ, 01-Dec-2022,95.75,96.0,96.5,95.3,95.7,95.5,95.8,606391,4219, 300813, 49.61
ARVINDFASN, EQ, 01-Dec-2022,334.95,334.95,334.95,325.4,328.6,327.25,329.15,207629,8022, 106110, 51.11
ASAHIINDIA, EQ, 01-Dec-2022,616.55,619.65,620.0,608.2,609.0,609.85,613.07,69301,4645, 35715, 51.54
ASHIANA, EQ, 01-Dec-2022,144.1,144.85,147.0,144.0,146.0,145.3,145.43,75009,1745, 23749, 31.66
ASHOKA, EQ, 01-Dec-2022,79.35,79.75,82.55,79.45,81.25,81.15,80.98,2255290,12770, 972542, 43.12
ASHOKLEY, EQ, 01-Dec-2022,148.8,150.3,150.6,147.9,148.65,148.7,149.3,8824539,44388, 3480095, 39.44
ASIANPAINT, EQ, 01-Dec-2022,3175.15,3191.0,3197.0,3161.25,3174.0,3179.35,3180.51,761717,60817, 434148, 57.00
ASTEC, EQ, 01-Dec-2022,2045.7,2026.0,2039.9,1975.0,1982.0,1987.55,1997.54,22655,4056, 11308, 49.91
ASTERDM, EQ, 01-Dec-2022,236.6,237.25,238.05,231.7,232.0,232.2,233.51,277818,8655, 160911, 57.92
