SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
AUTOAXLES, EQ, 25-Nov-2022,1975.85,1985.0,2010.0,1970.05,1984.0,1995.1,1996.01,6831,1412,4169,61.03,,,,,
AUTOAXLES, EQ, 28-Nov-2022,1995.1,1983.0,2055.0,1983.0,2026.0,2019.8,2029.69,9130,2433,5059,55.41,,,,,
AUTOAXLES, EQ, 29-Nov-2022,2019.8,2029.9,2039.7,1980.0,1980.0,1986.45,2000.53,4929,1339,2779,56.38,,,,,
AUTOAXLES, EQ, 30-Nov-2022,1986.45,1996.4,2025.0,1986.0,2025.0,2011.45,2003.99,3424,1025,1509,44.07,,,,,
AUTOAXLES, EQ, 01-Dec-2022,2011.45,2010.0,2019.0,1989.05,2001.0,2001.0,2000.88,5013,1741,3029,60.42,,,,,
AUTOAXLES, EQ, 02-Dec-2022,2001.0,2009.0,2070.0,1995.25,2017.0,2010.65,2043.82,40511,5304,10047,24.8,,,,,
AUTOAXLES, EQ, 05-Dec-2022,2010.65,2024.0,2024.0,1962.5,1980.0,1973.5,1987.49,7363,1615,4322,58.7,,,,,
