SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
FEDERALBNK, EQ, 25-Nov-2022,133.35,134.0,135.1,132.0,132.35,132.55,133.09,7701526,36714,2919647,37.91,,,,,
FEDERALBNK, EQ, 28-Nov-2022,132.55,133.25,134.25,132.3,133.35,133.8,133.41,7327894,42827,3475100,47.42,,,,,
FEDERALBNK, EQ, 29-Nov-2022,133.8,133.75,134.7,132.05,132.35,132.45,133.01,6388679,25323,2973698,46.55,,,,,
FEDERALBNK, EQ, 30-Nov-2022,132.45,132.8,133.35,131.0,132.05,131.45,131.72,6326371,38935,3101408,49.02,,,,,
FEDERALBNK, EQ, 01-Dec-2022,131.45,132.15,134.9,131.25,132.6,132.7,133.08,10535474,58617,4440778,42.15,,,,,
FEDERALBNK, EQ, 02-Dec-2022,132.7,132.9,133.9,132.0,133.4,133.25,133.1,6907375,43182,3054647,44.22,,,,,
FEDERALBNK, EQ, 05-Dec-2022,133.25,133.8,137.65,133.05,137.5,137.3,136.1,14401826,78952,5622241,39.04,,,,,
