SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
HFCL, EQ, 25-Nov-2022,79.5,79.5,81.15,79.25,79.9,80.25,80.21,8965433,19755,2809067,31.33,,,,,
HFCL, EQ, 28-Nov-2022,80.25,81.5,82.35,80.1,80.4,80.4,81.09,12305268,22626,3993788,32.46,,,,,
HFCL, EQ, 29-Nov-2022,80.4,80.7,80.8,78.6,79.0,79.2,79.83,5989912,16921,2273907,37.96,,,,,
HFCL, EQ, 30-Nov-2022,79.2,79.4,79.95,78.35,79.35,79.5,79.14,7515609,19800,2612468,34.76,,,,,
HFCL, EQ, 01-Dec-2022,79.5,79.9,80.8,78.7,78.85,79.0,79.81,6466905,19183,2196247,33.96,,,,,
HFCL, EQ, 02-Dec-2022,79.0,79.2,82.0,78.7,81.15,81.4,80.5,12783273,27709,4543439,35.54,,,,,
HFCL, EQ, 05-Dec-2022,81.4,81.9,84.45,80.45,83.3,83.45,82.65,20399306,40964,6498941,31.86,,,,,
