SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
AIAENG, EQ, 25-Nov-2022,2689.45,2685.0,2696.75,2627.0,2640.0,2639.9,2648.08,38478,8355,20243,52.61,,,,,
AIAENG, EQ, 28-Nov-2022,2639.9,2636.0,2673.2,2615.95,2652.0,2654.95,2652.53,46810,7520,30684,65.55,,,,,
AIAENG, EQ, 29-Nov-2022,2654.95,2654.0,2708.95,2653.2,2700.0,2699.8,2702.93,92096,7733,81878,88.91,,,,,
AIAENG, EQ, 30-Nov-2022,2699.8,2702.0,2726.95,2690.0,2700.0,2700.1,2700.63,63192,8290,50843,80.46,,,,,
AIAENG, EQ, 01-Dec-2022,2700.1,2714.0,2810.0,2682.4,2739.95,2733.2,2737.75,171752,26167,97083,56.53,,,,,
AIAENG, EQ, 02-Dec-2022,2733.2,2739.95,2777.95,2714.35,2774.95,2761.85,2753.68,91063,9546,74346,81.64,,,,,
AIAENG, EQ, 05-Dec-2022,2761.85,2798.7,2813.1,2715.1,2769.0,2750.35,2758.83,55603,9329,36330,65.34,,,,,
