SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
SURYODAY, EQ, 25-Nov-2022,101.75,103.7,103.7,101.35,101.65,101.6,102.05,84485,1339,48219,57.07,,,,,
SURYODAY, EQ, 28-Nov-2022,101.6,101.6,103.35,101.6,101.8,101.95,102.54,97654,1701,58832,60.25,,,,,
SURYODAY, EQ, 29-Nov-2022,101.95,102.6,102.6,100.0,100.3,100.4,101.04,101891,1431,65232,64.02,,,,,
SURYODAY, EQ, 30-Nov-2022,100.4,101.35,101.8,100.05,101.0,101.0,100.83,125409,2567,67175,53.56,,,,,
SURYODAY, EQ, 01-Dec-2022,101.0,101.6,105.7,101.0,103.95,104.0,103.39,389298,5058,218767,56.2,,,,,
SURYODAY, EQ, 02-Dec-2022,104.0,104.95,107.9,103.35,104.55,104.35,105.79,372349,4812,232494,62.44,,,,,
SURYODAY, EQ, 05-Dec-2022,104.35,105.1,114.2,104.6,111.3,111.35,110.79,793539,9742,294472,37.11,,,,,
