SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
CANBK, EQ, 25-Nov-2022,328.55,327.3,333.95,324.6,326.4,326.85,329.28,11092300,63541,1908893,17.21,,,,,
CANBK, EQ, 28-Nov-2022,326.85,328.6,328.6,322.25,323.8,324.15,324.63,6846677,46332,1507352,22.02,,,,,
CANBK, EQ, 29-Nov-2022,324.15,324.75,326.55,321.0,321.7,321.75,323.43,7020591,49199,2111994,30.08,,,,,
CANBK, EQ, 30-Nov-2022,321.75,323.7,323.7,312.7,314.9,314.7,315.88,22493064,91401,13438827,59.75,,,,,
CANBK, EQ, 01-Dec-2022,314.7,317.0,322.9,315.2,320.45,320.9,318.39,9283193,58035,2746173,29.58,,,,,
CANBK, EQ, 02-Dec-2022,320.9,320.55,324.0,317.9,318.55,319.15,320.52,5350091,34654,1059454,19.8,,,,,
CANBK, EQ, 05-Dec-2022,319.15,320.0,323.3,315.55,322.1,322.5,319.32,8881872,47314,3075020,34.62,,,,,
