SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
HUHTAMAKI, EQ, 25-Nov-2022,185.35,186.0,188.1,184.15,186.5,186.3,186.15,45311,1263,28688,63.31,,,,,
HUHTAMAKI, EQ, 28-Nov-2022,186.3,186.35,191.8,181.6,186.5,186.0,187.14,130338,5720,67906,52.1,,,,,
HUHTAMAKI, EQ, 29-Nov-2022,186.0,186.2,198.0,184.0,191.7,191.7,191.78,164316,5281,66872,40.7,,,,,
HUHTAMAKI, EQ, 30-Nov-2022,191.7,192.15,196.0,192.15,195.25,195.35,194.87,75287,1864,49518,65.77,,,,,
HUHTAMAKI, EQ, 01-Dec-2022,195.35,197.5,197.95,194.0,195.0,194.8,195.57,46671,1974,29102,62.36,,,,,
HUHTAMAKI, EQ, 02-Dec-2022,194.8,196.75,197.0,194.35,195.0,195.05,195.42,37022,1247,22134,59.79,,,,,
HUHTAMAKI, EQ, 05-Dec-2022,195.05,195.05,199.4,195.0,198.95,197.9,197.35,38128,1276,25843,67.78,,,,,
