SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
JSWHL, EQ, 25-Nov-2022,4143.6,4144.1,4221.95,4120.0,4125.0,4138.95,4169.05,915,284,643,70.27,,,,,
JSWHL, EQ, 28-Nov-2022,4138.95,4170.95,4179.95,4127.8,4157.95,4143.4,4157.76,417,191,217,52.04,,,,,
JSWHL, EQ, 29-Nov-2022,4143.4,4145.0,4300.0,4145.0,4254.95,4244.3,4245.18,1292,372,672,52.01,,,,,
JSWHL, EQ, 30-Nov-2022,4244.3,4250.0,4343.0,4250.0,4290.0,4287.6,4298.67,880,314,462,52.5,,,,,
JSWHL, EQ, 01-Dec-2022,4287.6,4342.0,4425.0,4278.15,4374.0,4399.05,4373.57,1587,515,1086,68.43,,,,,
JSWHL, EQ, 02-Dec-2022,4399.05,4450.0,4450.0,4310.1,4364.0,4354.75,4377.55,1040,460,622,59.81,,,,,
JSWHL, EQ, 05-Dec-2022,4354.75,4354.75,4429.95,4350.0,4412.0,4413.7,4392.02,1146,383,625,54.54,,,,,
