SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
JUBLPHARMA, EQ, 25-Nov-2022,381.1,383.0,390.5,374.95,374.95,379.4,384.45,84748,7155,32508,38.36,,,,,
JUBLPHARMA, EQ, 28-Nov-2022,379.4,378.9,384.0,376.25,380.75,381.7,379.94,70882,4271,28753,40.56,,,,,
JUBLPHARMA, EQ, 29-Nov-2022,381.7,379.5,382.5,375.9,378.0,381.3,379.64,79212,3819,40716,51.4,,,,,
JUBLPHARMA, EQ, 30-Nov-2022,381.3,380.05,395.65,380.05,389.95,391.55,389.96,160463,6595,73849,46.02,,,,,
JUBLPHARMA, EQ, 01-Dec-2022,391.55,391.55,391.75,380.1,381.4,381.15,383.25,146845,12277,73109,49.79,,,,,
JUBLPHARMA, EQ, 02-Dec-2022,381.15,382.5,382.85,374.1,379.0,378.75,378.06,160678,17925,70670,43.98,,,,,
JUBLPHARMA, EQ, 05-Dec-2022,378.75,378.75,380.9,373.0,375.55,375.65,377.32,132416,11528,71365,53.89,,,,,
