SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
BIOCON, EQ, 25-Nov-2022,274.45,276.0,282.75,275.1,282.1,282.15,280.09,1972475,22783,770830,39.08,,,,,
BIOCON, EQ, 28-Nov-2022,282.15,282.15,284.6,280.3,281.8,281.2,282.11,2087670,18463,1385679,66.37,,,,,
BIOCON, EQ, 29-Nov-2022,281.2,282.5,283.5,281.85,282.0,282.1,282.39,764612,13333,368680,48.22,,,,,
BIOCON, EQ, 30-Nov-2022,282.1,284.9,287.0,280.5,282.95,282.85,283.33,6560699,50359,4124329,62.86,,,,,
BIOCON, EQ, 01-Dec-2022,282.85,284.8,286.5,283.0,285.3,285.55,284.81,1127965,14974,519782,46.08,,,,,
BIOCON, EQ, 02-Dec-2022,285.55,285.5,285.55,282.0,283.2,283.55,283.14,987241,17910,407984,41.33,,,,,
BIOCON, EQ, 05-Dec-2022,283.55,284.2,285.3,278.9,279.1,279.45,281.32,1492167,20457,588847,39.46,,,,,
