SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
MAHABANK, EQ, 25-Nov-2022,27.3,27.45,28.25,27.1,27.5,27.45,27.73,41190200,38225,10943661,26.57,,,,,
MAHABANK, EQ, 28-Nov-2022,27.45,27.6,28.1,27.0,27.3,27.3,27.43,22268756,23289,6894235,30.96,,,,,
MAHABANK, EQ, 29-Nov-2022,27.3,27.5,27.75,26.7,26.85,26.85,27.1,19900823,20035,5652044,28.4,,,,,
MAHABANK, EQ, 30-Nov-2022,26.85,26.95,27.45,26.25,26.5,26.45,26.82,15845528,17570,5101793,32.2,,,,,
MAHABANK, EQ, 01-Dec-2022,26.45,26.55,27.6,25.8,27.6,27.1,26.5,27811928,24333,8052549,28.95,,,,,
MAHABANK, EQ, 02-Dec-2022,27.1,27.45,28.0,27.05,27.3,27.35,27.48,24037754,23265,6295674,26.19,,,,,
MAHABANK, EQ, 05-Dec-2022,27.35,27.5,27.85,27.0,27.8,27.65,27.45,15276414,14835,4795137,31.39,,,,,
