SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
TIINDIA, EQ, 25-Nov-2022,2602.35,2619.7,2725.0,2560.15,2570.0,2588.3,2645.88,685507,79980,345324,50.37,,,,,
TIINDIA, EQ, 28-Nov-2022,2588.3,2570.0,2775.0,2565.35,2770.0,2746.95,2708.43,1427618,89210,754117,52.82,,,,,
TIINDIA, EQ, 29-Nov-2022,2746.95,2755.6,2784.0,2625.0,2715.05,2743.7,2691.64,992017,88505,464079,46.78,,,,,
TIINDIA, EQ, 30-Nov-2022,2743.7,2723.0,2834.0,2675.65,2790.0,2771.35,2770.34,12989587,181345,8026392,61.79,,,,,
TIINDIA, EQ, 01-Dec-2022,2771.35,2778.8,2838.85,2725.0,2824.75,2818.1,2792.32,435976,43514,197504,45.3,,,,,
TIINDIA, EQ, 02-Dec-2022,2818.1,2800.0,2973.5,2788.05,2919.1,2933.3,2908.25,777567,67557,342630,44.06,,,,,
TIINDIA, EQ, 05-Dec-2022,2933.3,2940.0,2999.0,2918.3,2955.0,2957.65,2958.83,434419,36765,200061,46.05,,,,,
