SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
AEGISCHEM, EQ, 25-Nov-2022,330.15,328.15,338.0,325.1,336.0,336.2,333.65,797922,20589,271173,33.98,,,,,
AEGISCHEM, EQ, 28-Nov-2022,336.2,335.7,341.5,327.0,332.45,332.05,336.42,795151,16931,330856,41.61,,,,,
AEGISCHEM, EQ, 29-Nov-2022,332.05,333.65,333.75,315.05,316.0,316.9,321.87,557349,13946,239867,43.04,,,,,
AEGISCHEM, EQ, 30-Nov-2022,316.9,317.0,328.7,311.0,328.0,325.1,318.51,764654,17585,297986,38.97,,,,,
AEGISCHEM, EQ, 01-Dec-2022,325.1,326.7,332.2,323.15,326.0,326.45,328.14,633540,17256,258654,40.83,,,,,
AEGISCHEM, EQ, 02-Dec-2022,326.45,326.0,331.35,325.0,330.7,330.55,329.43,362482,13969,174267,48.08,,,,,
AEGISCHEM, EQ, 05-Dec-2022,330.55,333.0,334.85,325.0,330.5,329.65,330.35,367020,13327,148560,40.48,,,,,
