SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
ANURAS, EQ, 25-Nov-2022,727.3,730.0,730.0,725.0,728.0,726.7,726.62,47184,3501,33594,71.2,,,,,
ANURAS, EQ, 28-Nov-2022,726.7,728.0,740.5,727.25,731.0,730.65,734.42,37020,2742,17033,46.01,,,,,
ANURAS, EQ, 29-Nov-2022,730.65,732.5,735.0,725.4,726.2,727.05,728.22,59474,3969,31116,52.32,,,,,
ANURAS, EQ, 30-Nov-2022,727.05,729.0,730.55,717.05,721.0,719.05,722.07,97117,10074,55648,57.3,,,,,
ANURAS, EQ, 01-Dec-2022,719.05,721.0,726.85,713.6,714.05,715.6,719.28,96118,7345,45571,47.41,,,,,
ANURAS, EQ, 02-Dec-2022,715.6,716.0,722.7,715.75,719.75,719.6,719.97,25641,2232,13544,52.82,,,,,
ANURAS, EQ, 05-Dec-2022,719.6,720.9,726.95,716.0,718.7,719.0,721.21,36170,2786,17585,48.62,,,,,
