SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
RVNL, EQ, 25-Nov-2022,67.15,67.85,73.85,67.55,73.85,73.3,70.96,74360905,141721,14050523,18.9,,,,,
RVNL, EQ, 28-Nov-2022,73.3,76.3,80.6,74.15,80.3,80.1,79.56,127136239,203701,17984380,14.15,,,,,
RVNL, EQ, 29-Nov-2022,80.1,81.3,84.1,76.1,77.6,77.95,79.83,117037131,269534,25333191,21.65,,,,,
RVNL, EQ, 30-Nov-2022,77.95,76.8,77.2,74.1,74.1,74.1,74.92,29921056,97015,11975318,40.02,,,,,
RVNL, EQ, 01-Dec-2022,74.1,73.6,77.8,72.6,75.15,75.05,76.2,64056280,144927,12746695,19.9,,,,,
RVNL, EQ, 02-Dec-2022,75.05,75.15,76.8,74.2,74.95,75.15,75.19,17394032,56123,5443320,31.29,,,,,
RVNL, EQ, 05-Dec-2022,75.15,75.9,76.95,71.4,71.4,71.4,73.26,18116172,75353,9593823,52.96,,,,,
