SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
TORNTPHARM, EQ, 25-Nov-2022,1614.15,1614.15,1637.9,1606.1,1635.0,1629.55,1619.6,116474,9167,59298,50.91,,,,,
TORNTPHARM, EQ, 28-Nov-2022,1629.55,1629.55,1650.0,1618.05,1638.0,1636.2,1634.97,203103,14418,109818,54.07,,,,,
TORNTPHARM, EQ, 29-Nov-2022,1636.2,1637.0,1653.25,1631.05,1638.4,1635.0,1638.85,120840,10635,54803,45.35,,,,,
TORNTPHARM, EQ, 30-Nov-2022,1635.0,1640.0,1669.9,1613.0,1652.45,1659.9,1648.67,571634,19224,420182,73.51,,,,,
TORNTPHARM, EQ, 01-Dec-2022,1659.9,1663.95,1664.0,1630.15,1640.0,1641.7,1639.35,155588,11118,56109,36.06,,,,,
TORNTPHARM, EQ, 02-Dec-2022,1641.7,1641.9,1650.0,1613.35,1625.95,1621.1,1625.59,391568,21606,258383,65.99,,,,,
TORNTPHARM, EQ, 05-Dec-2022,1621.1,1621.1,1632.1,1603.65,1612.4,1619.9,1614.03,164087,11346,86978,53.01,,,,,
