SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
JCHAC, EQ, 25-Nov-2022,1101.4,1106.95,1134.0,1095.15,1110.0,1109.6,1115.07,22396,3204,10254,45.78,,,,,
JCHAC, EQ, 28-Nov-2022,1109.6,1115.15,1139.95,1112.8,1125.0,1123.55,1128.65,11324,1864,5719,50.5,,,,,
JCHAC, EQ, 29-Nov-2022,1123.55,1129.15,1188.0,1118.9,1180.0,1159.3,1128.84,91143,2172,82881,90.94,,,,,
JCHAC, EQ, 30-Nov-2022,1159.3,1142.0,1199.0,1140.05,1179.7,1176.85,1179.16,19088,3100,5484,28.73,,,,,
JCHAC, EQ, 01-Dec-2022,1176.85,1182.75,1186.3,1151.55,1163.0,1159.85,1174.46,8834,1621,5751,65.1,,,,,
JCHAC, EQ, 02-Dec-2022,1159.85,1159.85,1201.85,1146.8,1166.0,1156.85,1165.45,30849,5599,13331,43.21,,,,,
JCHAC, EQ, 05-Dec-2022,1156.85,1156.85,1197.0,1156.85,1176.0,1184.3,1181.76,22279,5356,7181,32.23,,,,,
