SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
MRF, EQ, 25-Nov-2022,89404.65,89365.0,90388.0,89001.0,89750.5,89904.6,89758.67,9260,5306,1970,21.27,,,,,
MRF, EQ, 28-Nov-2022,89904.6,90000.0,91969.0,89930.05,91515.0,91533.8,91214.94,13196,8279,2487,18.85,,,,,
MRF, EQ, 29-Nov-2022,91533.8,92000.0,92800.0,91900.05,92200.0,92565.15,92410.92,11792,6470,3651,30.96,,,,,
MRF, EQ, 30-Nov-2022,92565.15,92800.0,94103.45,92269.0,94000.0,93557.55,93087.7,17300,9887,8413,48.63,,,,,
MRF, EQ, 01-Dec-2022,93557.55,94000.0,95151.2,93234.6,93802.0,94325.5,94319.99,16380,9830,4686,28.61,,,,,
MRF, EQ, 02-Dec-2022,94325.5,94490.0,94988.0,93234.0,94489.95,94554.2,94234.46,11977,7204,2568,21.44,,,,,
MRF, EQ, 05-Dec-2022,94554.2,94711.95,95243.65,94052.45,94302.0,94673.7,94564.51,8584,5105,1617,18.84,,,,,
