SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
ASTRAL, EQ, 25-Nov-2022,1873.85,1880.0,1902.4,1875.7,1894.3,1894.0,1889.52,260993,20438,143472,54.97,,,,,
ASTRAL, EQ, 28-Nov-2022,1894.0,1904.0,1909.0,1880.1,1899.95,1895.9,1894.89,254701,23481,123474,48.48,,,,,
ASTRAL, EQ, 29-Nov-2022,1895.9,1900.0,1907.7,1878.55,1883.0,1882.05,1890.18,185029,22107,86093,46.53,,,,,
ASTRAL, EQ, 30-Nov-2022,1882.05,1891.5,1892.0,1873.5,1884.1,1884.65,1883.61,288203,27111,164051,56.92,,,,,
ASTRAL, EQ, 01-Dec-2022,1884.65,1894.6,1928.95,1882.0,1928.0,1924.2,1908.81,827271,62089,471434,56.99,,,,,
ASTRAL, EQ, 02-Dec-2022,1924.2,1937.0,2025.0,1930.0,2017.9,2018.35,1988.34,1642884,94868,414791,25.25,,,,,
ASTRAL, EQ, 05-Dec-2022,2018.35,2031.85,2047.5,2001.0,2038.0,2040.7,2027.37,537738,37612,147146,27.36,,,,,
