SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
BRIGADE, EQ, 25-Nov-2022,469.9,472.0,483.7,466.85,478.25,479.75,474.58,120454,11714,49352,40.97,2.342147216,,,,
BRIGADE, EQ, 28-Nov-2022,479.75,481.95,490.0,480.45,489.35,488.55,485.94,84558,4350,46912,55.48,2.279641728,,,,
BRIGADE, EQ, 29-Nov-2022,488.55,489.95,495.0,477.3,480.0,482.5,488.1,113223,9217,50530,44.63,2.4663693,,,,
BRIGADE, EQ, 30-Nov-2022,482.5,480.85,489.0,480.0,484.0,486.25,485.41,140414,8727,75938,54.08,3.686106458,,,,
BRIGADE, EQ, 01-Dec-2022,486.25,488.45,508.8,482.8,498.5,501.6,496.87,451406,17338,175838,38.95,8.736862706,,,,
BRIGADE, EQ, 02-Dec-2022,501.6,503.0,503.0,491.45,495.5,494.3,495.45,264618,7676,157063,59.35,7.781686335,3.9022254816,-1.4553429027113258,199.41662447986818,107555.0
BRIGADE, EQ, 05-Dec-2022,494.3,496.95,501.0,495.05,499.4,498.75,498.6,143664,9110,65144,45.34,3.2480798400000004,4.9901333054,0.9002629981792412,65.0900415122205,78520.0
