SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
JINDALSTEL, EQ, 25-Nov-2022,522.0,524.65,524.65,517.5,520.35,520.8,520.59,1747230,21040,631137,36.12,32.856361083,,,,
JINDALSTEL, EQ, 28-Nov-2022,520.8,517.8,520.2,505.85,507.05,507.2,509.44,2593511,35926,800510,30.87,40.78118144,,,,
JINDALSTEL, EQ, 29-Nov-2022,507.2,507.45,518.0,507.45,515.1,515.0,514.89,2267533,32606,508399,22.42,26.176956111,,,,
JINDALSTEL, EQ, 30-Nov-2022,515.0,517.0,539.5,515.0,536.15,535.75,533.39,9585497,104769,2748346,28.67,146.594027294,,,,
JINDALSTEL, EQ, 01-Dec-2022,535.75,540.0,566.9,537.7,562.05,564.5,555.39,8938555,82327,2790604,31.22,154.98735555599998,,,,
JINDALSTEL, EQ, 02-Dec-2022,564.5,564.45,570.8,560.5,564.2,564.45,564.41,4132768,68466,1500301,36.3,84.678488741,80.2791762968,-0.008857395925589817,105.48001691987385,2632467.0
JINDALSTEL, EQ, 05-Dec-2022,564.45,571.3,573.5,566.05,567.0,569.35,569.51,2829575,54873,763307,26.98,43.471096957,90.64360182840001,0.8681016919124771,47.958262999407694,2066268.0
