SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
SUMICHEM, EQ, 25-Nov-2022,473.25,473.0,475.85,466.0,470.5,470.5,468.71,1434655,11805,1219270,84.99,57.14840416999999,,,,
SUMICHEM, EQ, 28-Nov-2022,470.5,470.0,482.0,467.55,471.95,472.05,474.29,725048,17133,509423,70.26,24.161423467000002,,,,
SUMICHEM, EQ, 29-Nov-2022,472.05,472.8,475.4,465.0,468.6,467.25,468.92,173161,7711,99660,57.55,4.67325672,,,,
SUMICHEM, EQ, 30-Nov-2022,467.25,469.5,478.9,465.5,475.5,473.1,468.12,1376616,11718,1180912,85.78,55.280852544000005,,,,
SUMICHEM, EQ, 01-Dec-2022,473.1,477.4,479.1,467.0,467.75,467.85,471.91,337088,9631,230588,68.41,10.881678308000001,,,,
SUMICHEM, EQ, 02-Dec-2022,467.85,470.45,472.9,466.05,469.1,470.6,469.81,228282,6572,143821,63.0,6.756854401000001,30.4291230418,0.5877952335150155,22.205222252768237,84461.0
SUMICHEM, EQ, 05-Dec-2022,470.6,472.8,494.25,472.75,490.0,492.15,486.48,798461,16098,328152,41.1,15.963938496,20.350813088000002,4.579260518487028,78.4437379822099,470309.0
