SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
CCL, EQ, 25-Nov-2022,514.4,519.0,519.0,505.1,506.0,506.1,511.39,72425,3925,33733,46.58,1.7250718870000001,,,,
CCL, EQ, 28-Nov-2022,506.1,503.3,520.0,503.3,519.75,518.15,512.25,139408,5721,80857,58.0,4.141899825,,,,
CCL, EQ, 29-Nov-2022,518.15,520.0,544.5,517.3,537.4,539.15,536.1,838832,26705,273601,32.62,14.66774961,,,,
CCL, EQ, 30-Nov-2022,539.15,542.5,556.0,540.0,543.1,546.1,547.93,800766,22331,197653,24.68,10.830000829,,,,
CCL, EQ, 01-Dec-2022,546.1,548.4,548.4,525.15,530.55,530.3,534.36,228923,13316,95327,41.64,5.093893572,,,,
CCL, EQ, 02-Dec-2022,530.3,540.0,540.0,525.65,532.0,529.8,531.41,186598,10182,61644,33.04,3.275823804,7.291723144600001,-0.09428625306430324,44.92523562727367,124954.0
CCL, EQ, 05-Dec-2022,529.8,531.8,534.35,506.2,509.9,509.15,514.74,386407,20390,179278,46.4,9.228155772,7.6018735280000005,-3.897697244243107,121.39317680055987,207129.0
