SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
DOLLAR, EQ, 25-Nov-2022,429.45,423.6,434.0,423.6,430.0,432.05,430.95,57980,2129,26428,45.58,1.13891466,,,,
DOLLAR, EQ, 28-Nov-2022,432.05,432.05,439.4,432.05,438.0,436.45,435.38,27392,1808,15359,56.07,0.6687001419999999,,,,
DOLLAR, EQ, 29-Nov-2022,436.45,438.65,442.4,428.4,432.3,430.05,434.01,53841,2048,35926,66.73,1.559224326,,,,
DOLLAR, EQ, 30-Nov-2022,430.05,432.25,434.5,427.75,429.0,428.4,430.07,31346,2205,20396,65.07,0.877170772,,,,
DOLLAR, EQ, 01-Dec-2022,428.4,430.55,432.0,423.85,424.95,424.65,427.34,74815,4095,43818,58.57,1.8725184119999998,,,,
DOLLAR, EQ, 02-Dec-2022,424.65,426.7,433.2,424.5,429.1,428.65,429.02,85035,3582,47246,55.56,2.026947892,1.2233056624,0.9419521959260568,165.6943112666818,37789.0
DOLLAR, EQ, 05-Dec-2022,428.65,430.65,431.6,424.9,427.0,426.15,427.7,49398,2324,31406,63.58,1.3432346199999998,1.4009123088,-0.5832264084917765,95.88284802427027,17992.0
