SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
CSBBANK, EQ, 25-Nov-2022,216.2,215.0,222.65,214.95,217.5,218.0,218.5,275808,6303,126371,45.82,2.76120635,,,,
CSBBANK, EQ, 28-Nov-2022,218.0,218.8,221.9,217.3,219.5,219.75,219.45,150821,3028,71784,47.6,1.57529988,,,,
CSBBANK, EQ, 29-Nov-2022,219.75,220.65,224.1,219.15,220.85,220.5,221.24,160265,3479,70016,43.69,1.549033984,,,,
CSBBANK, EQ, 30-Nov-2022,220.5,222.25,222.25,217.55,218.95,218.3,219.7,208275,3780,132614,63.67,2.9135295799999996,,,,
CSBBANK, EQ, 01-Dec-2022,218.3,218.75,220.9,218.15,220.0,219.85,219.75,231315,2703,143581,62.07,3.155192475,,,,
CSBBANK, EQ, 02-Dec-2022,219.85,219.85,223.05,219.0,219.15,219.25,220.58,149310,2628,71539,47.91,1.578007262,2.3908524538,-0.27291335001136885,66.00186722070319,77771.0
CSBBANK, EQ, 05-Dec-2022,219.25,219.25,227.0,219.25,224.6,224.45,224.1,351537,5918,179930,51.18,4.0322313,2.1542126361999996,2.3717217787913287,187.17888996848512,171607.0
