SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
CENTRUM, EQ, 25-Nov-2022,24.8,24.85,25.25,24.1,24.9,24.75,24.86,155191,1124,106815,68.83,0.26554209,,,,
CENTRUM, EQ, 28-Nov-2022,24.75,25.15,25.2,24.4,24.5,24.75,24.99,131737,664,109612,83.21,0.273920388,,,,
CENTRUM, EQ, 29-Nov-2022,24.75,24.6,25.1,24.6,24.7,24.8,24.82,123160,677,86467,70.21,0.214611094,,,,
CENTRUM, EQ, 30-Nov-2022,24.8,24.7,26.2,24.65,25.65,25.75,25.68,523395,1599,406195,77.61,1.04310876,,,,
CENTRUM, EQ, 01-Dec-2022,25.75,26.0,26.9,25.8,26.65,26.65,26.42,790507,2589,495424,62.67,1.308910208,,,,
CENTRUM, EQ, 02-Dec-2022,26.65,26.95,27.45,26.2,27.1,27.15,27.0,652934,2369,419114,64.19,1.1316078,0.6212185079999999,1.876172607879925,182.1593827980412,233820.0
CENTRUM, EQ, 05-Dec-2022,27.15,27.5,27.95,26.15,26.75,26.65,27.41,499394,2159,323270,64.73,0.88608307,0.7944316499999999,-1.841620626151013,111.53672817541951,176124.0
