SYMBOL,SERIES,DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DELIV_VALUE,5DDeVA,%Change_In_Price,%Change_In_Deliv_vs_AVG,Intraday_volume
RESPONIND, EQ, 25-Nov-2022,139.2,141.3,155.0,137.0,149.3,149.6,149.18,407676,6043,116940,28.68,1.74451092,,,,
RESPONIND, EQ, 28-Nov-2022,149.6,150.7,151.9,142.0,145.0,146.65,148.5,139773,2477,53061,37.96,0.78795585,,,,
RESPONIND, EQ, 29-Nov-2022,146.65,145.0,149.0,140.0,140.9,140.5,143.27,100524,3075,48863,48.61,0.7000602010000001,,,,
RESPONIND, EQ, 30-Nov-2022,140.5,141.8,144.9,139.75,140.3,140.3,140.93,43796,1099,17286,39.47,0.24361159799999998,,,,
RESPONIND, EQ, 01-Dec-2022,140.3,141.85,141.95,140.0,140.8,140.45,140.71,15971,505,9460,59.23,0.13311166000000002,,,,
RESPONIND, EQ, 02-Dec-2022,140.45,141.15,142.45,135.3,138.45,138.55,137.23,167003,2628,57079,34.18,0.7832951169999999,0.7218500458000001,-1.3527945888216286,108.51216558861645,109924.0
RESPONIND, EQ, 05-Dec-2022,138.55,140.65,140.65,134.0,134.6,135.05,136.55,103629,2032,57914,55.89,0.7908156700000001,0.5296068852,-2.5261638397690365,149.3212592395504,45715.0
